ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval,30907,SYSTEM1.TXT,0.13352,0.24127,0.17190,3

ROUGE-SU4+StopWordRemoval,30907,SYSTEM1.TXT,0.08978,0.14664,0.11137,3

ROUGE-1+StopWordRemoval,32097,SYSTEM1.TXT,0.36367,0.38028,0.37179,4

ROUGE-2+StopWordRemoval,32097,SYSTEM1.TXT,0.12532,0.10850,0.11631,4

ROUGE-L+StopWordRemoval,32097,SYSTEM1.TXT,0.26773,0.24618,0.25651,4

ROUGE-SU4+StopWordRemoval,32097,SYSTEM1.TXT,0.18480,0.16171,0.17249,4

ROUGE-1+StopWordRemoval,32092,SYSTEM1.TXT,0.29125,0.23838,0.26218,4

ROUGE-2+StopWordRemoval,32092,SYSTEM1.TXT,0.07227,0.07072,0.07148,4

ROUGE-L+StopWordRemoval,32092,SYSTEM1.TXT,0.20526,0.34123,0.25633,4

ROUGE-SU4+StopWordRemoval,32092,SYSTEM1.TXT,0.13076,0.09190,0.10794,4

ROUGE-1+StopWordRemoval,31201,SYSTEM1.TXT,0.23594,0.41537,0.30094,4

ROUGE-2+StopWordRemoval,31201,SYSTEM1.TXT,0.07742,0.12018,0.09417,4

ROUGE-L+StopWordRemoval,31201,SYSTEM1.TXT,0.15960,0.31135,0.21103,4

ROUGE-SU4+StopWordRemoval,31201,SYSTEM1.TXT,0.12882,0.18906,0.15323,4

ROUGE-1+StopWordRemoval,31685,SYSTEM1.TXT,0.35479,0.51582,0.42042,3

ROUGE-2+StopWordRemoval,31685,SYSTEM1.TXT,0.17662,0.23940,0.20328,3

ROUGE-L+StopWordRemoval,31685,SYSTEM1.TXT,0.30048,0.34347,0.32054,3

ROUGE-SU4+StopWordRemoval,31685,SYSTEM1.TXT,0.23123,0.28947,0.25710,3

ROUGE-1+StopWordRemoval,32773,SYSTEM1.TXT,0.39890,0.34757,0.37147,3

ROUGE-2+StopWordRemoval,32773,SYSTEM1.TXT,0.12951,0.10137,0.11373,3

ROUGE-L+StopWordRemoval,32773,SYSTEM1.TXT,0.23589,0.22015,0.22775,3

ROUGE-SU4+StopWordRemoval,32773,SYSTEM1.TXT,0.19782,0.14205,0.16536,3

ROUGE-1+StopWordRemoval,31203,SYSTEM1.TXT,0.18350,0.54799,0.27494,3

ROUGE-2+StopWordRemoval,31203,SYSTEM1.TXT,0.05424,0.18775,0.08417,3

